Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-05,BPCL,EQ,380.0,380.25,380.45,360.75,369.35,370.05,370.57,8951983,331737861635000.0,93311,3473214,0.38799999999999996
2019-07-08,BPCL,EQ,370.05,366.85,367.6,356.15,362.0,360.85,361.2,3715738,134211514105000.0,47549,1263715,0.3401
2019-07-09,BPCL,EQ,360.85,362.0,367.85,358.6,361.15,360.1,362.7,3777964,137028385180000.0,46091,1162635,0.30770000000000003
2019-07-10,BPCL,EQ,360.1,360.15,363.4,346.0,349.85,349.6,354.0,3957006,140078891165000.02,52090,1320541,0.3337
2019-07-11,BPCL,EQ,349.6,348.9,355.5,347.0,350.8,350.55,350.72,6138839,215303789405000.03,61755,2832037,0.46130000000000004
2019-07-12,BPCL,EQ,350.55,352.75,354.8,345.0,345.6,345.75,348.26,4541847,158172888520000.0,78286,2119194,0.46659999999999996
2019-07-15,BPCL,EQ,345.75,346.2,348.3,342.7,347.2,347.4,345.88,3150558,108971166820000.0,62807,1274754,0.4046
2019-07-16,BPCL,EQ,347.4,349.0,356.3,348.6,355.0,354.45,353.71,5296609,187344032500000.0,89114,2427476,0.4583
2019-07-17,BPCL,EQ,354.45,359.0,359.0,350.4,352.8,352.8,352.97,4830701,170508663800000.0,70685,2319074,0.48009999999999997
2019-07-18,BPCL,EQ,352.8,354.0,355.35,347.85,349.7,349.25,351.75,4516450,158866818445000.0,82821,2168467,0.48009999999999997
2019-07-19,BPCL,EQ,349.25,351.3,353.4,346.7,349.4,351.0,350.33,3602823,126218262905000.0,48120,1696136,0.4708
2019-07-22,BPCL,EQ,351.0,349.4,354.9,340.2,353.5,353.5,348.97,3864744,134868499895000.0,71170,1093809,0.28300000000000003
2019-07-23,BPCL,EQ,353.5,353.5,360.0,351.6,359.0,359.05,356.81,3505367,125075647984999.98,52351,1506668,0.42979999999999996
2019-07-24,BPCL,EQ,359.05,358.1,358.2,344.7,349.7,349.1,348.49,4202747,146462939345000.0,40138,1345389,0.3201
2019-07-25,BPCL,EQ,349.1,351.0,351.5,339.4,341.0,340.3,342.93,3515650,120561002334999.98,49146,1772643,0.5042
2019-07-26,BPCL,EQ,340.3,339.4,345.5,335.0,344.2,343.8,340.32,4659856,158583666330000.0,52766,1472340,0.316
2019-07-29,BPCL,EQ,343.8,343.0,347.2,338.75,342.95,342.2,342.51,2417553,82802955500000.0,28017,583787,0.2415
2019-07-30,BPCL,EQ,342.2,343.5,343.5,334.35,335.3,335.5,339.75,2131968,72433336350000.0,39160,756311,0.3547
2019-07-31,BPCL,EQ,335.5,331.5,346.65,328.2,345.0,345.5,339.96,4133401,140517446375000.0,78827,1350481,0.32670000000000005
2019-08-01,BPCL,EQ,345.5,345.0,346.15,339.2,344.0,343.65,342.85,3063358,105025759185000.0,44191,1000764,0.32670000000000005
2019-08-02,BPCL,EQ,343.65,345.0,346.95,337.45,342.0,342.45,342.09,3565682,121978303509999.98,51649,1080079,0.3029
2019-08-05,BPCL,EQ,342.45,340.0,345.4,331.55,338.8,339.0,339.6,2721597,92424667690000.0,48606,745839,0.27399999999999997
2019-08-06,BPCL,EQ,339.0,339.95,347.5,336.6,342.35,345.3,342.88,3315134,113668155030000.0,68871,1006439,0.3036
2019-08-07,BPCL,EQ,345.3,346.95,346.95,329.25,330.55,331.1,336.48,3543555,119233570850000.0,48382,1022558,0.2886
2019-08-08,BPCL,EQ,331.1,333.2,345.05,330.3,344.1,343.5,336.63,4153348,139815675134999.98,65384,1368949,0.3296
2019-08-09,BPCL,EQ,343.5,343.5,350.9,341.0,346.3,346.45,346.65,3854274,133609723325000.0,38089,1172012,0.3041
2019-08-13,BPCL,EQ,346.45,346.0,357.85,342.0,342.9,343.1,350.64,5526502,193782528570000.0,69024,1496971,0.27090000000000003
2019-08-14,BPCL,EQ,343.1,341.0,356.8,341.0,353.05,354.45,352.15,3012716,106092266020000.0,38563,690337,0.2291
2019-08-16,BPCL,EQ,354.45,355.5,355.9,346.35,350.45,351.2,351.26,2590335,90988442620000.0,39463,656119,0.25329999999999997
2019-08-19,BPCL,EQ,351.2,352.0,354.1,346.0,347.1,347.0,348.91,1727376,60269323325000.0,23688,340000,0.1968
2019-08-20,BPCL,EQ,347.0,348.9,348.9,339.1,342.75,342.25,343.2,2348767,80609326250000.0,32016,543200,0.2313
2019-08-21,BPCL,EQ,342.25,335.75,339.45,326.35,327.6,327.8,333.07,4002205,133302107770000.0,45218,1418890,0.35450000000000004
2019-08-22,BPCL,EQ,327.8,328.0,329.85,309.55,313.7,313.0,316.11,5788469,182981440805000.0,66987,2781263,0.4805
2019-08-23,BPCL,EQ,313.0,312.1,330.8,308.35,329.35,329.35,321.6,4669618,150175292980000.0,64226,900059,0.1927
2019-08-26,BPCL,EQ,329.35,331.1,336.7,321.1,334.5,335.4,330.07,3946042,130247034384999.98,67956,716344,0.1815
2019-08-27,BPCL,EQ,335.4,337.0,346.0,334.25,343.0,342.3,341.52,4410906,150639337790000.0,88476,1790710,0.406
2019-08-28,BPCL,EQ,342.3,342.0,352.5,337.5,350.8,350.55,344.03,5017700,172623295045000.0,56932,2221729,0.4428
2019-08-29,BPCL,EQ,350.55,350.8,357.4,346.5,352.85,354.05,352.01,4916466,173063155985000.0,61690,1165025,0.237
2019-08-30,BPCL,EQ,354.05,353.75,356.8,345.15,355.45,355.25,350.82,4448781,156073589275000.0,73591,2046462,0.46
